street_address,city,state,latitude,longitude
3600 SW 108th St,Lakewood,WA,47.1592102,-122.4849472
8624 Firestone Cir,Clermont,FL,28.5670815,-81.8123245
1299 Hickory St,Omaha,NE,41.2427938,-95.9331281
200 S McNab Pkwy,San Manuel,AZ,32.6101336,-110.6317321
1714 Walker Ave,Union,NJ,40.7107079,-74.2532176
1900 McHenry St,Baltimore,MD,39.2844658,-76.6468658
616 SW 59th St,Oklahoma City,OK,35.4057617,-97.524292
402 North Prospect St,Hagerstown,MD,39.6494503,-77.7206332
3164 Charlotte Hwy,Lancaster,SC,34.7966959,-80.7973288
12th Ave and Glenhurst Ct,Rock Island,IL,41.4996099,-90.5816397
164 E Main St,Rexburg,ID,43.8255653,-111.7787094
4660 N Socrum Loop Rd,Lakeland,FL,28.1034451,-81.9506454
N 10th St and Gunnison Ave,Grand Junction,CO,39.0733903,-108.5559598
5111 Fairbanks Dr,El Paso,TX,31.9034023,-106.4228592
1134 E St,Wasco,CA,35.5890732,-119.3347549
300 Stone Monument Dr,Wake Forest,NC,35.9575348,-78.527153
14680 Middle Gibraltar Rd,Rockwood,MI,42.0951881,-83.2008743
36 Grandview Rd,Hanover,PA,39.7720299,-76.9661789
11974-11998 US-64,Muskogee County,OK,35.7550087,-95.4025574
36 Randall Rd,Mansfield,OH,40.7386665,-82.5156326
168 Auringer Rd,Constantania,NY,43.265415,-76.005973
US-65,Tallulah,LA,32.3727417,-91.1993637
134 Burban Dr,Branford,CT,41.2693481,-72.8428955
13600 Culver Blvd,Los Angeles,CA,34.0021591,-118.4123077
13822 Brookhurst St,Garden Grove,CA,33.7610283,-117.953743
400 N Birch,Gardner,KS,38.816658,-94.9135437
8100 North Carolina Hwy 41,Dublin,NC,34.6425728,-78.7416717
3020 Destrehan Ave,Harvey,LA,29.8598535,-90.0722601
1980 NW 46 Ave,Lauderhill,FL,26.1503577,-80.2101228
274 E 194th St,New York,NY,40.8646202,-73.8924332
7700 Mesa College Dr,San Diego,CA,32.8019612,-117.154332
1851 Sunrise Hwy,Bay Shore,NY,40.7399445,-73.2372284
800 Maybrook Dr,Deltona,FL,28.8863035,-81.2532239
7400 Bonnie View Rd,Dallas,TX,32.6565955,-96.7502993
2515 Manhattan Blvd,Harvey,LA,29.8768171,-90.0489899
331 W Grand Ledge Hwy,Roxand Township,MI,42.7556214,-84.8926637
2105 Scott Blvd,Santa Clara,CA,37.3612938,-121.959137
Chaparral Rd and Hayden Rd,Scottsdale,AZ,33.50943,-111.9087198
1000 Claudia Ct,Antioch,CA,37.9996185,-121.8187332
3022 James Rd,Valdosta,GA,30.8424794,-83.3328619
1301 Spring Meadow Ln,Culpeper,VA,38.4843175,-77.9793973
8516 N Meridian Rd,Monon,IN,40.8749496,-86.8776412
Lark St and Second St,Albany,NY,42.6610199,-73.7579497
Illinois Rte 145 and Waldo Church Rd,Metropolis,IL,37.1760399,-88.6766698
Mt Pleasant Rd,Lucedale,MS,30.8003197,-88.6320801
200 Canaan Pointe Dr,Spartanburg,SC,34.9038367,-81.9115352
East 38th St and North Mitthoeffer Rd,Indianapolis,IN,39.8262703,-85.9910497
Forest Ave,Tewksbury,MA,42.6146317,-71.2831421
Karen Ln and Corinne Dr,San Antonio,TX,29.4894164,-98.4276711
7901 1st Ave S,Birmingham,AL,33.5637512,-86.7238083
Yuma Circle,Cottonwood,AZ,34.6895294,-111.9851837
Fern Ave and Phillips St,Ontario,CA,34.0500802,-117.6546599
9800 Liberty Rd,Randallstown,MD,39.3798716,-76.820209
Girard Street and Acacia Ave,Hemet,CA,33.7439798,-116.95425
4999 Naaman Forest Blvd,Garland,TX,32.9599406,-96.6389561
10 Temple Ave,Hackensack,NJ,40.9011307,-74.040863
2003 E Rodeo Dr,Cottonwood,AZ,34.713047,-112.0006409
1900 block N Harvard Ave,Tulsa,OK,36.1497383,-95.9933319
135 N Main St,Eagar,AZ,34.1133387,-109.2914933
Post Office Neck Rd and Lake Rd,Shawnee,OK,35.33308,-97.0646703
11565 James Watt Dr,El Paso,TX,31.7398815,-106.3106995
20th St and Thomas Rd,Phoenix,AZ,33.4802603,-112.0388203
11157 Chico Ave,Pomona,CA,34.0511284,-117.720726
1000 W 3rd St,Santa Ana,CA,33.7470254,-117.8777748
Mountainair St,Edgewood,NM,35.0556297,-106.1947021
313 S Houston Ave,Onalaska,TX,30.706146,-94.930023
East Rd and Olivia St,Salisbury,MD,38.3791997,-75.6071202
538 E Sixth St,New York,NY,40.5887968,-73.9643034
4600 E 15th St,Long Beach,CA,33.785408,-118.1393127
Booger Hollow Rd,Dadeville,AL,32.864521,-85.7209778
9000 Buena Vista St,Apple Valley,CA,34.4155171,-117.1768954
5300 East Craig Road,Las Vegas,NV,36.2421112,-115.0569458
Castlegory Rd and Wallisville Rd,Houston,TX,29.806377,-95.1731886
8700 E 97th Ter,Kansas City,MO,38.9474373,-94.4866943
Mount St and Presbury St,Baltimore,MD,39.3079703,-76.6448703
3200 Hancock St,San Diego,CA,32.7543667,-117.2051807
Lake Ella,Tallahassee,FL,30.4609642,-84.2794113
Crowell Rd and Tipcart Dr,Chatham,MA,41.6848183,-69.966423
1701 Ridgecrest Rd,Edmond,OK,35.6332283,-97.4577179
H St NW and 20th Ave NW,Miami,OK,36.8973899,-94.8865503
Shadytree Ln and Glen Arbor Dr,Encinitas,CA,33.0497403,-117.24153
1790 E Voorhees St,Harmony,IN,39.5332565,-87.0744171
Cliffs Landing Rd,Bay Minette,AL,30.8661098,-87.880188
2201 NW 27th St,Oklahoma City,OK,35.4976883,-97.5500717
9265 Quail Roost Dr,Navarre,FL,30.4130363,-86.8348923
2293 N Main St,Crown Point,IN,41.4479828,-87.371109
1200 Beck Ave,Panama City,FL,30.1703529,-85.7008362
Sparta Hwy and Oconee Springs Rd,Eatonton,GA,33.3434998,-83.2064702
Horseshoe Run Rd,Fort Ashby,WV,39.481971,-78.812003
4600 International Gateway,Columbus,OH,39.997512,-82.890052
1100 Hoffman Ave,Long Beach,CA,33.780946,-118.1735922
1000 SW 62nd St,Oklahoma City,OK,35.4030647,-97.5325623
1110 Battleground Dr,Iuka,MS,34.8047029,-88.202415
US-150,Stanford,KY,37.51334,-84.5990601
E Kennedy St,Hackensack,NJ,40.8674316,-74.0377197
13442 Bellaire Blvd,Houston,TX,29.704109,-95.621871
2300 block Main St,Tarboro,NC,35.9069519,-77.5407562
4200 St Louis Ave,St Louis,MO,38.6609879,-90.2338638
3400 Lincoln Ave,Alton,IL,38.8918839,-90.1335983
4304 Pershing Pointe Pl,Orlando,FL,28.4995747,-81.3055038
1600 3rd St,Bay City,MI,43.5996857,-83.8729324
1000 block Mayflower Rd,Fort Pierce,FL,27.4486504,-80.3266068
2701 Mary Ave,Gastonia,NC,35.2658062,-81.2271642
600 Second Ave,Salt Lake City,UT,40.7716665,-111.8714082
2225 Texas Hwy 256 Loop,Palestine,TX,31.774197,-95.6519569
3271 Dartmouth Dr,Charleston,SC,32.8577843,-80.0776596
US-40,Craig,CO,40.5144005,-107.4890213
New York State Rte 31A,Clarendon,NY,43.1940384,-78.065712
700 N Auburndale St,Memphis,TN,35.1571117,-90.0000664
SE 650th Rd,Green Ridge,MO,38.6578484,-93.5117188
1410 Hill Ave,Napa,CA,38.306118,-122.2744522
5900 S Lewis Ave,Tulsa,OK,36.0787522,-95.9580338
Juanipero Way and La Loma Dr,Medford,OR,42.311009,-122.8316269
10900 E 109th Pl,Northglenn,CO,39.8945198,-104.9772263
10064 Elm Grove Garden Dr,Baton Rouge,LA,30.5366734,-91.1694337
Kneuman Rd,Sumas,WA,49.0000114,-122.2853775
Bellefonte Dr,Charlotte,NC,35.2506218,-80.8187485
11120 NW Gainesville Rd,Ocala,FL,29.3102512,-82.1930542
8400 Chef Menteur Hwy,New Orleans,LA,30.0135784,-89.988533
298 Gavilan Canyon Rd,Rudioso,NM,33.3267975,-105.6342545
I-95,Ridgefield Park,NJ,40.86306,-74.0112915
North Carolina Hwy 242 and Reeda Branch Rd,Salemburg,NC,35.0643602,-78.4907397
1486 Hyde Park Rd,Essex,MD,39.2983478,-76.4401614
3700 Beyer Park Dr,Modesto,CA,37.6910477,-120.9706879
4604 Summit St,Columbus,OH,40.059024,-82.997337
SW 29th Ave and SW 29th Terrace,Fort Lauderdale,FL,26.1071098,-80.1828401
1125 1/2 19th St,Bakersfield,CA,35.376175,-119.0144849
200 Elm Rd,Emporia,VA,36.6105907,-77.5013888
74th Street and Merrill Ave,Chicago,IL,41.7607203,-87.57246
Kentucky Rte 92,Williamsburg,KY,36.7391205,-84.1332397
120 Honey Berry Ct,Draper,UT,40.5398552,-111.8872467
3500 Ebenezer Rd,Conyers,GA,33.5961237,-84.0463328
Waikoloa Rd,Waikoloa Village,HI,19.915194,-155.831754
1600 Grass Lake Dr,Tampa Bay,FL,28.1022091,-82.4886322
Dixie St,Johnsonville,SC,33.8190804,-79.4618912
2400 W Tharpe St,Tallahassee,FL,30.4664764,-84.3292542
265 Buffalo Ct,Columbus,OH,39.879382,-82.9963372
83 Beaufain St,Charleston,SC,32.7795741,-79.9380436
N Plymouth St,Allentown,PA,40.632019,-75.4338379
45 Major Bell Ln,Gettysburg,PA,39.8576944,-77.1596814
Newport St & E 25th Ave,Denver,CO,39.7534,-104.9093599
1113 W St Mary's Rd,Tuscon ,AZ,34.2929649,-111.6646957
200 John Wesly Blvd,Bossier City,LA,32.5170212,-93.7078476
422 SE 3rd St,England,AR,34.5426491,-91.9658922
I-35,Waco,TX,31.593082,-97.108858
E Baseline Rd and S 48th St,Phoenix,AZ,33.3781938,-111.978452
812 Forest Hills Dr,Nashville,TN,36.0540047,-86.7787399
841 Avenue A,Boulder City,NV,35.9727325,-114.8414688
3468 Casino Way,Robinsonville,MS,34.8307787,-90.32121
8th St and N Orange Ave,Sarasota,FL,27.3431099,-82.5386202
"Billings Clinic, 2800 10th Ave N",Billings,MT,45.789441,-108.5132285
Constitution Ave and San Mateo Blvd,Albuquerque,NM,35.0946403,-106.5861697
500 North Oliver Ave,Wichita,KS,37.6939376,-97.2804936
1200 Calimesa Blvd,Calimesa,CA,33.9951673,-117.0581017
1503 Medfra St,Anchorage,AK,61.2075577,-149.8582001
Greenland Park Dr,Maricopa,AZ,33.0835686,-112.0429306
2569 Raber Rd,Green,OH,40.9656982,-81.4294357
16802 Hillside Ave,New York,NY,40.7098999,-73.7943573
4023 University Pkwy,San Bernadino,CA,34.164711,-117.3321762
900 E Main St,Cabot,AR,34.9675325,-92.0081317
300 E Mitchell St,Arlington,TX,32.7282829,-97.1045675
"Port St Joe Police Station, 410 Williams Ave",Port St Joe,FL,29.812402,-85.301915
202 Avenue A,Levelland,TX,33.5913373,-102.3692241
2007 Sousa Ct,Fairfield,CA,38.2652893,-121.9976044
3000 W Cecil Ave,Delano,CA,35.7697792,-119.3015518
1500 Plymouth Ln,Green Bay,WI,44.5266283,-88.0578916
6100 Scott St,Rosemont,IL,41.9897374,-87.8759104
4501 Hoffner Ave,Orlando,FL,28.4805509,-81.3283666
182 N4430 Rd,Rufe,OK,34.1277084,-95.156517
2853 Avalon Meadows Ct,Lawrenceville,GA,33.9334145,-84.0869064
27767 Base Line,Highland,CA,34.1207352,-117.198616
6600 W Christy Dr,Glendale,AZ,33.5838023,-112.2006413
Tasman Dr and Lawrence Expy,Sunnyvale,CA,37.4033102,-121.9956697
1400 E Harmony Ave,Mesa,AZ,33.3896023,-111.8006046
2500 FM1054,Tahoka,TX,33.1661153,-101.6661762
1408 W Main St,Marion,IL,37.7308112,-88.9412637
Indian Rte 13,Lukachukai,AZ,36.4117088,-109.25
400 White Bear Ave,St Paul,MN,44.9535713,-93.0245514
225 Presidents Cup Way,St Augustine,FL,29.9727812,-81.4809528
2300 Gilead Ave,Zion,IL,42.4539375,-87.8439407
2661 Gravenstein Hwy S,Sebastopol,CA,38.3767128,-122.7918701
325 Riverside Dr,Fallsburg,NY,41.7404167,-74.5979552
138 Del Mar Cir,Aurora,CO,39.7281647,-104.8446426
6735 W Peoria Ave,Peoria ,AZ,33.5812721,-112.2033386
6024 Wheaton Dr,Fort Worth,TX,32.6606293,-97.3954849
W Union Hills Dr and N 39th Ave,Phoenix,AZ,33.6546099,-112.1431998
1800 Helena St,Jacksonville,FL,30.3778403,-81.6836172
NA,Guthrie,OK,35.8801193,-97.4228592
E Knox Rd,Chandler,AZ,33.3269806,-111.8252487
900 Bankhead Hwy,Carrollton,GA,33.5906563,-85.0489044
645 Smyrna Center Rd,Smyrna,ME,46.1598784,-68.1000068
30 Malvern Ln,Smyrna,DE,39.2800324,-75.6028052
1800 Heather Cir,Indianapolis,IN,39.7927158,-85.9919228
355 Valley Brook Ave,Lyndhurst,NJ,40.8121343,-74.1246445
210 W 300 N,Roosevelt,UT,40.3023154,-109.9969961
107 White Falls Dr,Columbia,SC,34.0728226,-81.1996384
"Longview Police Department, 302 W Cotton St",Longview,TX,32.49541,-94.746094
2800 Longmeadow Dr,Trenton,MI,42.1408048,-83.2159779
200 Jordan Dr,Nocona,TX,33.78727,-97.7127638
"Corrections Department, 1400 E 4th Ave",Anchorage,AK,61.218408,-149.858016
19157 NW 3rd Ave,Miami Gardens,FL,25.9503192,-80.2074225
Minnesota Ave and Meramec St,St Louis,MO,38.5800999,-90.2375297
Redlyn St,Pittsburgh,PA,40.413045,-79.991463
85 Almost Home Rd,Penrose,NC,35.2702599,-82.6380997
4505 SW Masters Loop,Aloha,OR,45.4866905,-122.8912506
950 Nalley Rd,Landover,MD,38.9048424,-76.8766708
3618 White Buffalo Rd,Huntley,MT,45.8630638,-108.3131864
N Addison St and E Sanson Ave,Spokane,WA,47.7065501,-117.4032799
New York State Rte 23 and Cairo Junction Rd,Catskill,NY,42.262431,-73.9357393
4100 Eldorado Springs Dr,Boulder,CO,39.9386327,-105.2570694
1624 Hood Franklin Rd,Elk Grove,CA,38.3685913,-121.4939194
3400 Manitou Ave,Los Angeles,CA,34.0717621,-118.2049866
E 31st St and N Sherman Dr,Indianapolis,IN,39.8115999,-86.1025699
261 E University Ave,St Paul,MN,44.9580421,-93.0942535
3057 Martin Ave,Omaha,NE,41.3234673,-95.9593735
Sir Gawaine Dr,Chesapeake,VA,36.781304,-76.347865
Hitt St and Elm St,Columbia,MO,38.9484698,-92.3255698
1940 Turner Rd SE,Salemburg,OR,44.913921,-122.996177
1806 16th Ave,Rockford,IL,42.2503929,-89.0685043
W 141st St and 257th W Ave,Kellyville,OK,35.9593201,-96.2797198
3800 Vernon Ave,Memphis,TN,35.1648337,-89.9334182
600 NW 27th Ave,Fort Lauderdale,FL,26.1292725,-80.1778488
Martinique Ct,Stockton,CA,38.02911,-121.3156891
1050 Carl Griffin Dr,Savannah,GA,32.0666924,-81.1678772
2420 Terry Rd,Huntingdon,TN,35.9514389,-88.5734558
2010 61st St,Sacramento,CA,38.5515137,-121.4342575
630 Valencia St,San Francisco,CA,37.7628479,-122.4220047
3800 Canfield Rd,Eaton Rapids Township,MI,42.5121727,-84.7003385
College Ave and Curry Rd,Tempe,AZ,33.4402203,-111.9308198
500 W Vineyard Ave,Oxnard,CA,34.2278137,-119.1828842
Doctors Row,Chavies,KY,37.3803482,-83.2437286
Malad St and Gourley St,Boise,ID,43.5789295,-116.2223222
105 Hinkle St,Wilmore,KY,37.8669354,-84.6608786
100 Whitfield St,Enfield,NC,36.1811831,-77.6669817
600 Spring Dr,Robertsville,MO,38.3187816,-90.7944026
1400 N Marion Ave,Springfield,MO,37.2242855,-93.3193785
2600 Kaumualii Hwy,Kaumakani,HI,21.9338608,-159.6427002
11936 California Rte 178,Lake Isabella,CA,35.6425591,-118.4136963
1534 N Center Ave,Somerset,PA,40.035759,-79.0743942
Northtowne Plaza Shopping Center,Claymount,DE,39.8179254,-75.4563524
I-84,Beacon,NY,41.517724,-73.979344
818 31st St,Evans,CO,40.3840446,-104.6920242
4817 W Mceachern Woods Dr,Powder Springs,GA,33.9112854,-84.6947861
ChapeÌ_å±o Rd,Roma,TX,26.5522499,-99.1332092
17500 Tester Rd ,Snohomish,WA,47.8377751,-122.0135761
900 S Euclid St,Anaheim,CA,33.8200747,-117.941376
707 W 13th St,Vancouver,WA,45.6310601,-122.678255
4999 Naaman Forest Blvd,Garland,TX,32.9599406,-96.6389561
16200 E 12th Ave,Aurora,CO,39.7354916,-104.7992847
"Fairfax County Adult Detention Center, 10520 Judicial Dr",Fairfax,VA,38.84399,-77.311132
Becky Sue St,Ville Platte,LA,30.751305,-92.437994
Hectorville Rd and Bixby Rd,Mounds,OK,35.84183,-95.8906098
N Main St,Webster,MA,42.0585899,-71.8781281
17200 Pires Ave,Cerritos,CA,33.8749829,-118.0503535
SE 4th St and Scott Ave,Des Moines,IA,41.5810397,-93.609646
2475 Cumberland Pkwy SE,Atlanta,GA,33.86441,-84.477958
4130 N Black Canyon Hwy,Phoenix,AZ,33.4962463,-112.1153488
N Garner Lake Rd and Vaquero Ave,Gillette,WY,44.3019303,-105.4499397
4800 Legend Well Dr,San Antonio,TX,29.5922401,-98.4028975
I-95,Ridgefield Park,NJ,40.86306,-74.0112915
Lasalle St and Josephine St,New Orleans,LA,29.9412498,-90.0852399
Troy Ave and Oakshire Ln,Pueblo,CO,38.2854206,-104.573478
E 6th St and Mateo St,Los Angeles,CA,34.0383897,-118.2327244
800 Howard St,Stockton,CA,37.9297473,-121.2981304
150 E Lincoln Ave,Anaheim,CA,33.8366709,-117.9137003
69 Prospect Hill Dr,Weymouth,MA,42.2566948,-70.9316177
7100 Pine Ave,Chino,CA,33.9534248,-117.6501793
US-90 and Charles Dr,Del Rio,TX,29.3685202,-100.8305995
904 Admiral Callaghan Ln,Vallejo,CA,38.1320534,-122.2226868
477 Belcher Rd,Boiling Springs,SC,35.022747,-82.0061417
12810 Gulf Fwy,Houston,TX,29.6131928,-95.2134526
1300 Sherman St,San Jose,CA,37.316599,-121.8759895
118 W Grape St,Vineland,NJ,39.4848213,-75.0345688
Nesbitt Ave S and 99th St W,Bloomington,MN,44.8254901,-93.35841
604 E Maple Ave,Stillwater,OK,36.1211052,-97.0501251
1225 Quindaro Blvd,Kansas City,KS,39.1362457,-94.6423798
4401 Xylon Ave N,Minneapolis,MN,45.035038,-93.3867416
200 North Retta St,Fort Worth,TX,32.7670361,-97.3038536
Sleepy Hollow Dr and Misty Glen Dr,Newalla,OK,35.3752202,-97.1720599
414 Rehr St,Reading,PA,40.3287582,-75.9080353
2615 Mossrock,San Antonio,TX,29.5134506,-98.53582
Tremont St and Morgan St,Rochester,NY,43.1478502,-77.6309502
400 Steuber Rd,Tehachapi,CA,35.1274796,-118.4139481
600 Olive St,Jourdanton,TX,28.91159,-98.5429517
SW Wanamaker Rd and I-70,Topeka,KS,39.0536007,-95.7618132
"Louis Armstrong New Orleans International Airport, 900 Airline Dr",Kenner,LA,29.9859313,-90.2577119
NA,Fort Meade,MD,39.1066513,-76.7348022
3320 W 9th Ave,Kennewick,WA,46.2013702,-119.1680069
108 Fir Canyon Rd,Grants Pass,OR,42.3600731,-123.4464111
200 Trask St,Bakersfield,CA,35.3536224,-119.3315506
500 Sycamore St,Lake Jackson,TX,29.0344224,-95.4281493
120 W Slaughter Ln,Austin,TX,30.1676178,-97.7891617
1847 Bob White Blvd,Pulaski,VA,37.0585149,-80.7449909
175 Bass Pro Blvd,Denham Springs,LA,30.4504135,-90.9602784
Fields Hollow Rd,Peebles,OH,39.083271,-83.2555466
14200 Kornblum Ave,Hawthorne,CA,33.9017922,-118.3373257
Elkhorn Blvd and Dry Creek Rd,Rio Linda,CA,38.6837699,-121.4383999
39 N Marlin Ave,Key Largo,FL,25.1559029,-80.3902588
4th St and Mathews St,Los Angeles,CA,34.0401299,-118.2106698
US-49 and Middle Driveway,Gulfport,MS,30.4247537,-89.0925243
W 11th St,Tulsa,OK,36.1459389,-95.9928436
West Lerdo Hwy and South Wall St,Shafter,CA,35.4998598,-119.28055
300 Yaupon St,Freeport,TX,28.9552215,-95.3685641
15746 Union Ave,Harvey,IL,41.6037641,-87.6340616
Gale St,Laredo,TX,27.554155,-99.478091
2500 Texas Hwy 121,Euless,TX,32.8722464,-97.0993902
1016 N 4th Ave,Pasco,WA,46.2375755,-119.0959167
2241 Lucille Ave,Kingman,AZ,35.2040901,-114.0249939
184 W 3rd St,Pomona,CA,34.056838,-117.7509385
"Circle K, 1301 N Eastern Ave",Las Vegas,NV,36.18512,-115.116428
E Baseline Rd and S 48th St,Phoenix,AZ,33.3781938,-111.978452
University Ave NE and I-694,Fridley,MN,45.0686548,-93.2634647
NA,Mission,TX,26.2153301,-98.3257904
Texas Hwy 71 and Silvermine Dr,Austin,TX,30.2470483,-97.8883914
2600 Senter Rd,San Jose,CA,37.3052139,-121.8414917
33 Bayside Pkwy,Middletown,NJ,40.4439697,-74.1128845
6095 Anna's Ln,Portage,MI,42.2294236,-85.640723
N Pass Ave and W National Ave,Burbank,CA,34.1510618,-118.3435524
1040 County Rd 249,Moulton,AL,34.5668413,-87.2866505
Richards St,Joliet,IL,41.525211,-88.074195
59705 E Bidegain Pl,Kearny,AZ,33.0784683,-110.9232864
110 Nottinghill Ln,Hamilton Township,NJ,40.216132,-74.7106603
364 S King St,Honolulu,HI,21.3065129,-157.8598659
3600 Emmanuel Way,Alpine,CA,32.750515,-116.7029652
5900 Xerxes Ave N,Minneapolis,MN,45.0622444,-93.3187485
2200 Green Springs Hwy,Birmingham,AL,33.4814291,-86.8241706
3120 East Main St,CaÌ_å±on City,CO,38.4461021,-105.1917953
I-10,La Paz County,AZ,32.230201,-110.982089
3420 S Proctor St,Tacoma,WA,47.2285385,-122.4888763
Old Hwy 19 SE,Meridian,MS,32.3308716,-88.5660095
